,Planet Name,ID,FeatureName,FeatureType,Planetary Feature,Latitude of Center of Planetary Feature,Longitude of Center of Planetary Feature,Size of Planetary Feature(km)
3002,Rhea,14754.0, Onokoro Catenae , catena ,CA,-44.7,31.5,240.0
3003,Rhea,14755.0, Thebeksan Catena , catena ,CA,-39.5,186.0,220.0
275,Mercury,15108.0, Haystack Catena , catena ,CA,4.42132,313.523706,274.0
3013,Rhea,14765.0, Puchou Catenae , catena ,CA,32.0,273.0,620.0
3004,Rhea,14756.0, Wungaran Catenae , catena ,CA,22.5,281.0,350.0
2715,Mars,6030.0, Tithoniae Catenae , catena ,CA,-5.495662,278.175612,562.0
15421,Ganymede,4145.0, Nanshe Catena , catena ,CA,15.4,7.1,103.8
264,Mercury,15106.0, Arecibo Catena , catena ,CA,-27.576961,331.70543,139.793
14760,Ceres,15489.0, Junina Catenae , catena ,CA,26.048584,214.943115,263.0
14786,Ceres,15511.0, Uhola Catenae , catena ,CA,-10.65,286.66,400.0
149,Callisto,5517.0, Sid Catena , catena ,CA,49.2,256.1,81.4
5931,Moon,1067.0, Catena Mendeleev , catena ,CA,6.630199,139.216619,125.22
146,Callisto,5784.0, Svol Catena , catena ,CA,10.6,322.8,161.0
5932,Moon,1068.0, Catena Michelson (GIRD) , catena ,CA,-0.442237,246.418846,450.598
5933,Moon,1069.0, Catena Pierre , catena ,CA,19.761239,328.141633,9.43503
5934,Moon,1072.0, Catena Taruntius , catena ,CA,3.043059,48.706422,69.2389
64,Callisto,2174.0, Gipul Catena , catena ,CA,68.5,305.8,641.0
5935,Moon,1073.0, Catena Timocharis , catena ,CA,29.094924,346.794017,48.3693
67,Callisto,2217.0, Gomul Catena , catena ,CA,35.5,312.9,342.6
5936,Moon,1074.0, Catena Yuri , catena ,CA,24.408144,329.618392,4.51752
1975,Mars,2598.0, Hyblaeus Catena , catena ,CA,21.596727,140.618416,10.4857
69,Callisto,2286.0, Gunntro Catena , catena ,CA,-19.5,16.9,149.0
5152,Triton,5439.0, Set Catena , catena ,CA,22.0,33.5,0.0
14769,Ceres,15494.0, Baltay Catena , catena ,CA,-49.3396,274.486816,83.5
15270,Ganymede,1804.0, Enki Catena , catena ,CA,38.837055,346.143845,160.0
2209,Mars,34.0, Acheron Catena , catena ,CA,37.473952,259.203515,421.77
2086,Mars,6074.0, Tractus Catena , catena ,CA,26.99912,257.208344,910.572
2629,Mars,3190.0, Labeatis Catenae , catena ,CA,19.487874,266.829131,220.6
113,Callisto,1738.0, Eikin Catena , catena ,CA,-8.9,344.5,223.1
6018,Moon,1070.0, Catena Sumner , catena ,CA,37.891729,111.910098,220.517
15284,Ganymede,5923.0, Terah Catena , catena ,CA,7.1,82.4,283.0
14711,Ceres,15425.0, Gerber Catena , catena ,CA,-38.29834,215.499023,100.0
90,Callisto,1954.0, Fimbulthul Catena , catena ,CA,8.2,295.2,287.0
14763,Ceres,15410.0, Samhain Catenae , catena ,CA,-2.746582,252.852539,715.0
2097,Mars,1301.0, Coprates Catena , catena ,CA,-15.003909,297.912691,302.058
1988,Mars,5732.0, Stygis Catena , catena ,CA,23.25255,150.567328,65.3808
2643,Mars,1357.0, Cyane Catena , catena ,CA,36.254421,241.696745,204.064
2421,Mars,2094.0, Ganges Catena , catena ,CA,-2.70002,291.218589,81.2674
5930,Moon,1066.0, Catena Lucretius (RNII) , catena ,CA,-4.025843,233.554266,232.065
5928,Moon,1064.0, Catena Leuschner (GDL) , catena ,CA,5.073663,248.695544,200.058
2403,Mars,406.0, Artynia Catena , catena ,CA,47.692385,240.548716,279.279
2729,Mars,4474.0, Ophir Catenae , catena ,CA,-9.46,300.6,509.0
2597,Mars,599.0, Baphyras Catena , catena ,CA,38.830059,275.841708,95.525
5873,Moon,1057.0, Catena Brigitte , catena ,CA,18.495359,27.492963,7.6503
5916,Moon,1071.0, Catena Sylvester , catena ,CA,79.989785,276.882237,139.0
15000,Mimas,14746.0, Tintagil Catena , catena ,CA,-58.0,125.0,130.0
15207,Vesta,15062.0, Albalonga Catena , catena ,CA,-7.166602,72.613086,161.739
5917,Moon,1055.0, Catena Abulfeda , catena ,CA,-16.591158,16.700132,209.972
15209,Vesta,15063.0, Robigalia Catena , catena ,CA,-14.040527,19.78418,79.213
2602,Mars,1104.0, Ceraunius Catena , catena ,CA,37.100454,251.905342,50.489
5922,Moon,1058.0, Catena Davy , catena ,CA,-10.984739,353.734424,52.3361
14774,Ceres,15493.0, Pongal Catena , catena ,CA,-37.369995,267.662109,95.5
5929,Moon,1065.0, Catena Littrow , catena ,CA,22.230806,29.61139,10.2998
15345,Ganymede,3010.0, Khnum Catena , catena ,CA,32.901999,10.731203,66.0
5923,Moon,1059.0, Catena Dziewulski , catena ,CA,18.775628,100.269209,80.6594
5924,Moon,1060.0, Catena Gregory , catena ,CA,-0.591887,129.802518,148.158
2359,Mars,1780.0, Elysium Catena , catena ,CA,17.686144,149.725164,48.5007
2358,Mars,157.0, Alba Catena , catena ,CA,35.04442,245.42262,144.861
5925,Moon,1061.0, Catena Humboldt , catena ,CA,-21.980936,84.696989,162.288
5926,Moon,1062.0, Catena Krafft , catena ,CA,14.913554,287.749742,55.1054
5133,Triton,3112.0, Kraken Catena , catena ,CA,14.0,35.5,0.0
5927,Moon,1063.0, Catena Kurchatov , catena ,CA,37.246545,136.603347,234.913
59,Callisto,2135.0, Geirvimul Catena , catena ,CA,48.9,12.8,113.1
5918,Moon,1056.0, Catena Artamonov , catena ,CA,26.091609,105.771819,131.215
15118,Europa,15825.0, Moyle Cavus , cavus ,CB,-25.0,192.0,145.0
2466,Mars,4475.0, Ophir Cavus , cavus ,CB,-9.885993,304.959869,36.717
2255,Mars,14592.0, Ismenius Cavus , cavus ,CB,33.898149,17.07502,90.611
2404,Mars,6960.0, Amenthes Cavi , cavus ,CB,16.230956,114.520071,1330.5
2436,Mars,2095.0, Ganges Cavus , cavus ,CB,-10.091691,308.553687,43.1062
2903,Mars,15270.0, Hydrae Cavus , cavus ,CB,-7.925229,298.69235,64.5
5128,Triton,2524.0, Hirugo Cavus , cavus ,CB,14.5,345.0,0.0
2914,Mars,15700.0, Nat Cavus , cavus ,CB,-11.9,263.1,40.4
2910,Mars,15697.0, Dalu Cavus , cavus ,CB,-6.9,261.0,65.0
2112,Mars,5355.0, Scandia Cavi , cavus ,CB,77.552986,209.651807,663.795
5153,Triton,6196.0, Ukupanio Cavus , cavus ,CB,35.0,23.0,0.0
5141,Triton,3629.0, Mangwe Cavus , cavus ,CB,-7.0,343.0,0.0
5138,Triton,3588.0, Mah Cavus , cavus ,CB,38.0,6.0,0.0
2902,Mars,15269.0, Juventae Cavi , cavus ,CB,-3.908934,301.840442,94.4
2913,Mars,15699.0, Malam Cavus , cavus ,CB,-11.2,261.9,48.0
2857,Mars,15482.0, Hiddekel Cavus , cavus ,CB,29.43,16.24,23.3
5127,Triton,2420.0, Hekt Cavus , cavus ,CB,26.0,342.0,0.0
5120,Triton,1387.0, Dagon Cavus , cavus ,CB,29.0,345.0,0.0
5112,Triton,315.0, Apep Cavus , cavus ,CB,20.0,301.5,0.0
2912,Mars,15698.0, Layl Cavus , cavus ,CB,-10.4,261.4,48.4
5111,Triton,729.0, Bheki Cavus , cavus ,CB,16.0,308.0,0.0
5135,Triton,3144.0, Kulilu Cavus , cavus ,CB,41.0,4.0,0.0
2830,Mars,6962.0, Boreum Cavus , cavus ,CB,84.64,339.85,62.13
2785,Mars,15264.0, Hadriacus Cavi , cavus ,CB,-27.245356,78.047699,59.086
2838,Mars,14157.0, Olympia Cavi , cavus ,CB,85.06,182.23,342.783
5508,Pluto,15755.0, Hekla Cavus , cavus ,CB,6.86,154.66,98.408
2499,Mars,4650.0, Peraea Cavus , cavus ,CB,-29.606695,95.427714,56.2369
2501,Mars,503.0, Avernus Cavi , cavus ,CB,-3.717259,172.519086,115.0
1042,Mars,6963.0, Tenuis Cavus , cavus ,CB,84.763911,1.388291,51.5252
2515,Mars,370.0, Argyre Cavi , cavus ,CB,-48.307005,319.878373,72.3277
2519,Mars,4398.0, Octantis Cavi , cavus ,CB,-52.572411,314.03011,71.214
2777,Mars,15712.0, Oenotria Cavi , cavus ,CB,-3.86,78.9,247.0
2521,Mars,480.0, Ausonia Cavus , cavus ,CB,-31.920093,96.553574,49.4975
5497,Pluto,15676.0, Adlivun Cavus , cavus ,CB,-15.4,188.86,21.4
